根據您篩選的結果，總計有145筆資料，當前資料為1-145筆，看更多請至國泰證券app查詢
股名,日期,成交股數,淨收付金額,買賣別,成交價,成本,手續費,交易稅,融資金額/券擔保品,資自備款/券保證金,利息,稅款,券手續費/標借費,委託書號
閎康,2026/03/20,100,"22,873",現賣,229.5,"22,950",9,68,0,0,0,0,0,k06ER
大眾控,2026/03/20,35,"-2,321",現買,66.3,"2,320",1,0,0,0,0,0,0,k0CK4
榮科,2026/03/20,50,"-3,666",現買,73.3,"3,665",1,0,0,0,0,0,0,k09mQ
元晶,2026/03/20,30,"-1,471",現買,49,"1,470",1,0,0,0,0,0,0,k0Nxt
台積電,2026/03/19,2,"-3,721",現買,1860,"3,720",1,0,0,0,0,0,0,k0TJf
台積電,2026/03/19,2,"-3,711",現買,1855,"3,710",1,0,0,0,0,0,0,k0TL1
中工,2026/03/19,50,-708,現買,14.15,707,1,0,0,0,0,0,0,k04RB
閎康,2026/03/19,100,"20,830",現賣,209,"20,900",8,62,0,0,0,0,0,k0R3d
元晶,2026/03/19,50,"-2,521",現買,50.4,"2,520",1,0,0,0,0,0,0,k05db
中工,2026/03/18,50,-746,現買,14.9,745,1,0,0,0,0,0,0,k0U7M
元晶,2026/03/18,50,"-2,571",現買,51.4,"2,570",1,0,0,0,0,0,0,k0UHU
元晶,2026/03/18,20,"-1,035",現買,51.7,"1,034",1,0,0,0,0,0,0,k0UZU
中工,2026/03/17,100,"-1,496",現買,14.95,"1,495",1,0,0,0,0,0,0,k090E
台積電,2026/03/16,3,"-5,567",現買,1855,"5,565",2,0,0,0,0,0,0,k0BKA
中工,2026/03/16,50,-786,現買,15.7,785,1,0,0,0,0,0,0,k0Bvd
中工,2026/03/16,30,-454,現買,15.1,453,1,0,0,0,0,0,0,k0TFJ
元大台灣50,2026/03/13,30,"-2,267",現買,75.55,"2,266",1,0,0,0,0,0,0,k08p6
台積電,2026/03/13,1,"-1,856",現買,1855,"1,855",1,0,0,0,0,0,0,k098U
元晶,2026/03/12,5,-264,現買,52.6,263,1,0,0,0,0,0,0,k00ps
元晶,2026/03/12,10,-524,現買,52.3,523,1,0,0,0,0,0,0,k04fg
中工,2026/03/11,200,"-3,131",現買,15.65,"3,130",1,0,0,0,0,0,0,k06aJ
燿華,2026/03/09,2,-125,現買,62.1,124,1,0,0,0,0,0,0,k06yP
中工,2026/03/09,30,-472,現買,15.7,471,1,0,0,0,0,0,0,k0Hh0
台積電,2026/03/04,2,"-3,771",現買,1885,"3,770",1,0,0,0,0,0,0,k0f7h
中工,2026/03/04,10,167,現賣,16.8,168,1,0,0,0,0,0,0,k0pBS
燿華,2026/03/03,10,-728,現買,72.7,727,1,0,0,0,0,0,0,k0fcH
技嘉,2026/03/03,10,"-2,301",現買,230,"2,300",1,0,0,0,0,0,0,k0fJD
南茂,2026/03/03,10,-621,現買,62,620,1,0,0,0,0,0,0,k0fnb
閎康,2026/02/26,80,"18,219",現賣,228.5,"18,280",7,54,0,0,0,0,0,k06ui
技嘉,2026/02/25,10,"-2,376",現買,237.5,"2,375",1,0,0,0,0,0,0,k0Jsv
中工,2026/02/25,150,"-2,506",現買,16.7,"2,505",1,0,0,0,0,0,0,k083N
中工,2026/02/25,100,"-1,661",現買,16.6,"1,660",1,0,0,0,0,0,0,k0IXz
中工,2026/02/25,100,"-1,656",現買,16.55,"1,655",1,0,0,0,0,0,0,k0WWA
國巨*,2026/02/24,5,"1,500",現賣,301,"1,505",1,4,0,0,0,0,0,k03xn
中探針,2026/02/23,"1,000","68,866",現賣,69.1,"69,100",27,207,0,0,0,0,0,AY503
中探針,2026/02/23,170,"11,878",現賣,70.1,"11,917",4,35,0,0,0,0,0,k093i
中工,2026/02/11,"1,000","15,348",現賣,15.4,"15,400",6,46,0,0,0,0,0,AT537
中探針,2026/02/04,100,"-6,002",現買,60,"6,000",2,0,0,0,0,0,0,k0Daq
期元大S&P黃金,2026/02/03,80,"-4,105",現買,51.3,"4,104",1,0,0,0,0,0,0,k04y3
期元大S&P黃金,2026/01/30,100,"-5,657",現買,56.55,"5,655",2,0,0,0,0,0,0,k07YY
期元大S&P黃金,2026/01/29,50,"-2,963",現買,59.25,"2,962",1,0,0,0,0,0,0,k09AL
中探針,2026/01/29,70,"-4,334",現買,61.9,"4,333",1,0,0,0,0,0,0,k0EwI
群益台灣精選高息,2026/01/27,500,"12,119",現賣,24.27,"12,135",4,12,0,0,0,0,0,k0DEL
中工,2026/01/27,"1,000","-14,955",現買,14.95,"14,950",5,0,0,0,0,0,0,AD138
中探針,2026/01/27,"1,000","-68,227",現買,68.2,"68,200",27,0,0,0,0,0,0,AA926
國泰永續高股息,2026/01/26,"1,000","23,078",現賣,23.11,"23,110",9,23,0,0,0,0,0,AQ723
中探針,2026/01/26,"1,000","65,677",現賣,65.9,"65,900",26,197,0,0,0,0,0,AK051
中探針,2026/01/26,100,"6,589",現賣,66.1,"6,610",2,19,0,0,0,0,0,k05PE
燿華,2026/01/23,120,"5,227",現賣,43.7,"5,244",2,15,0,0,0,0,0,k08r1
國巨*,2026/01/22,10,"2,981",現賣,299,"2,990",1,8,0,0,0,0,0,k0GCY
中探針,2026/01/22,100,"6,240",現賣,62.6,"6,260",2,18,0,0,0,0,0,k0HGu
中探針,2026/01/21,"1,000","-65,125",現買,65.1,"65,100",25,0,0,0,0,0,0,AK157
中探針,2026/01/21,100,"-6,352",現買,63.5,"6,350",2,0,0,0,0,0,0,k05JX
中探針,2026/01/21,100,"-6,122",現買,61.2,"6,120",2,0,0,0,0,0,0,k0M0H
可寧衛*,2026/01/20,150,"-6,632",現買,44.2,"6,630",2,0,0,0,0,0,0,k0Cdx
燿華,2026/01/13,120,"-4,201",現買,35,"4,200",1,0,0,0,0,0,0,k09Ez
元大台灣50,2025/12/16,150,"-9,273",現買,61.8,"9,270",3,0,0,0,0,0,0,k0C9C
閎康,2025/12/16,100,"-19,557",現買,195.5,"19,550",7,0,0,0,0,0,0,k0C38
閎康,2025/12/16,80,"-15,446",現買,193,"15,440",6,0,0,0,0,0,0,k0CL2
閎康,2025/11/13,150,"-28,811",現買,192,"28,800",11,0,0,0,0,0,0,r07dJ
國巨*,2025/09/26,20,"-3,361",現買,168,"3,360",1,0,0,0,0,0,0,r0Bnc
閎康,2025/09/26,200,"-40,916",現買,204.5,"40,900",16,0,0,0,0,0,0,r0CYW
元大台灣50,2025/04/22,30,"-4,738",現買,157.9,"4,737",1,0,0,0,0,0,0,k00nY
富邦台50,2024/11/21,500,"-54,946",現買,109.85,"54,925",21,0,0,0,0,0,0,k04SE
國泰永續高股息,2024/11/18,"1,000","-22,148",現買,22.14,"22,140",8,0,0,0,0,0,0,AF138
國泰永續高股息,2024/11/18,"1,000","-22,138",現買,22.13,"22,130",8,0,0,0,0,0,0,AJ138
國泰永續高股息,2024/11/12,"1,000","-22,999",現買,22.99,"22,990",9,0,0,0,0,0,0,A2018
群益台灣精選高息,2024/11/04,"1,000","-23,159",現買,23.15,"23,150",9,0,0,0,0,0,0,AX922
元大台灣50,2024/09/02,33,"-5,979",現買,181.18,"5,978",1,0,0,0,0,0,0,p00D1
國泰永續高股息,2024/09/02,174,"-3,989",現買,22.92,"3,988",1,0,0,0,0,0,0,p02mR
元大台灣50,2024/08/05,250,"-40,266",現買,161,"40,250",16,0,0,0,0,0,0,k06gm
國泰永續高股息,2024/08/05,"1,000","-21,588",現買,21.58,"21,580",8,0,0,0,0,0,0,AB561
元大台灣50,2024/08/01,32,"-5,886",現買,183.92,"5,885",1,0,0,0,0,0,0,p008G
國泰永續高股息,2024/08/01,171,"-3,988",現買,23.32,"3,987",1,0,0,0,0,0,0,p01XX
元大台灣50,2024/07/01,31,"-5,813",現買,187.5,"5,812",1,0,0,0,0,0,0,p00F6
國泰永續高股息,2024/07/01,167,"-3,988",現買,23.88,"3,987",1,0,0,0,0,0,0,p02tN
元大台灣50,2024/06/03,17,"-2,876",現買,169.17,"2,875",1,0,0,0,0,0,0,p00Nv
國泰永續高股息,2024/06/03,86,"-1,997",現買,23.22,"1,996",1,0,0,0,0,0,0,p03dP
元大台灣50,2024/05/02,19,"-2,972",現買,156.37,"2,971",1,0,0,0,0,0,0,p00Ap
國泰永續高股息,2024/05/02,89,"-1,982",現買,22.26,"1,981",1,0,0,0,0,0,0,p01iQ
元大台灣50,2024/04/12,18,"-2,924",現買,162.41,"2,923",1,0,0,0,0,0,0,p003u
國泰永續高股息,2024/04/12,87,"-1,980",現買,22.75,"1,979",1,0,0,0,0,0,0,p00jM
元大高股息,2024/04/09,125,"4,988",現賣,39.95,"4,993",1,4,0,0,0,0,0,k00Y4
元大高股息,2024/04/01,125,"-4,982",現買,39.85,"4,981",1,0,0,0,0,0,0,k017M
